Realization,utility,week,infra.
0,0,313,6
1,0,261,6
2,0,261,6
3,0,313,6
4,0,261,6
5,0,261,6
6,0,313,6
7,0,261,6
8,0,313,6
9,0,261,6
10,0,261,6
11,0,313,6
12,0,261,6
13,0,261,6
14,0,261,6
15,0,313,6
16,0,313,6
17,0,313,6
18,0,261,6
19,0,313,6
20,0,313,6
21,0,261,6
22,0,261,6
23,0,313,6
24,0,313,6
25,0,261,6
26,0,313,6
27,0,261,6
28,0,313,6
29,0,313,6
30,0,261,6
31,0,261,6
32,0,261,6
33,0,261,6
34,0,261,6
35,0,261,6
36,0,313,6
37,0,261,6
38,0,261,6
39,0,261,6
40,0,261,6
41,0,313,6
42,0,261,6
43,0,261,6
44,0,261,6
45,0,313,6
46,0,261,6
47,0,261,6
48,0,261,6
49,0,261,6
50,0,261,6
51,0,261,6
52,0,313,6
53,0,313,6
54,0,261,6
55,0,261,6
56,0,261,6
57,0,313,6
58,0,261,6
59,0,261,6
60,0,313,6
61,0,261,6
62,0,261,6
63,0,313,6
64,0,313,6
65,0,261,6
66,0,313,6
67,0,261,6
68,0,261,6
69,0,313,6
70,0,261,6
71,0,261,6
72,0,313,6
73,0,261,6
74,0,261,6
75,0,261,6
76,0,261,6
77,0,261,6
78,0,313,6
79,0,313,6
80,0,261,6
81,0,261,6
82,0,313,6
83,0,261,6
84,0,261,6
85,0,313,6
86,0,313,6
87,0,313,6
88,0,261,6
89,0,261,6
90,0,313,6
91,0,261,6
92,0,261,6
93,0,261,6
94,0,313,6
95,0,261,6
96,0,313,6
97,0,261,6
98,0,313,6
99,0,261,6
100,0,261,6
101,0,261,6
102,0,261,6
103,0,261,6
104,0,313,6
105,0,313,6
106,0,313,6
107,0,313,6
108,0,261,6
109,0,261,6
110,0,261,6
111,0,313,6
112,0,261,6
113,0,261,6
114,0,313,6
115,0,261,6
116,0,313,6
117,0,261,6
118,0,261,6
119,0,261,6
120,0,313,6
121,0,313,6
122,0,261,6
123,0,261,6
124,0,313,6
125,0,313,6
126,0,313,6
127,0,261,6
128,0,313,6
129,0,313,6
130,0,313,6
131,0,261,6
132,0,313,6
133,0,261,6
134,0,261,6
135,0,261,6
136,0,261,6
137,0,261,6
138,0,313,6
139,0,261,6
140,0,261,6
141,0,313,6
142,0,261,6
143,0,261,6
144,0,261,6
145,0,261,6
146,0,261,6
147,0,313,6
148,0,313,6
149,0,261,6
150,0,261,6
151,0,261,6
152,0,261,6
153,0,261,6
154,0,313,6
155,0,261,6
156,0,313,6
157,0,313,6
158,0,313,6
159,0,261,6
160,0,261,6
161,0,261,6
162,0,261,6
163,0,261,6
164,0,261,6
165,0,313,6
166,0,261,6
167,0,261,6
168,0,313,6
169,0,313,6
170,0,261,6
171,0,261,6
172,0,261,6
173,0,261,6
174,0,313,6
175,0,313,6
176,0,261,6
177,0,313,6
178,0,261,6
179,0,261,6
180,0,261,6
181,0,313,6
182,0,261,6
183,0,261,6
184,0,261,6
185,0,313,6
186,0,261,6
187,0,313,6
188,0,261,6
189,0,261,6
190,0,261,6
191,0,261,6
192,0,261,6
193,0,261,6
194,0,261,6
195,0,261,6
196,0,261,6
197,0,261,6
198,0,261,6
199,0,261,6
200,0,261,6
201,0,313,6
202,0,261,6
203,0,261,6
204,0,261,6
205,0,261,6
206,0,313,6
207,0,261,6
208,0,261,6
209,0,313,6
210,0,261,6
211,0,261,6
212,0,261,6
213,0,261,6
214,0,261,6
215,0,261,6
216,0,313,6
217,0,261,6
218,0,313,6
219,0,261,6
220,0,261,6
221,0,261,6
222,0,261,6
223,0,313,6
224,0,313,6
225,0,313,6
226,0,261,6
227,0,261,6
228,0,313,6
229,0,261,6
230,0,261,6
231,0,261,6
232,0,313,6
233,0,261,6
234,0,261,6
235,0,261,6
236,0,261,6
237,0,261,6
238,0,313,6
239,0,261,6
240,0,261,6
241,0,261,6
242,0,261,6
243,0,261,6
244,0,261,6
245,0,261,6
246,0,261,6
247,0,261,6
248,0,261,6
249,0,261,6
250,0,261,6
251,0,261,6
252,0,261,6
253,0,261,6
254,0,261,6
255,0,261,6
256,0,313,6
257,0,313,6
258,0,261,6
259,0,261,6
260,0,261,6
261,0,261,6
262,0,261,6
263,0,261,6
264,0,261,6
265,0,313,6
266,0,261,6
267,0,261,6
268,0,261,6
269,0,261,6
270,0,313,6
271,0,261,6
272,0,313,6
273,0,261,6
274,0,261,6
275,0,261,6
276,0,261,6
277,0,261,6
278,0,313,6
279,0,313,6
280,0,261,6
281,0,261,6
282,0,261,6
283,0,261,6
284,0,261,6
285,0,313,6
286,0,261,6
287,0,261,6
288,0,261,6
289,0,261,6
290,0,261,6
291,0,313,6
292,0,261,6
293,0,261,6
294,0,261,6
295,0,261,6
296,0,261,6
297,0,261,6
298,0,313,6
299,0,261,6
300,0,261,6
301,0,261,6
302,0,261,6
303,0,261,6
304,0,261,6
305,0,261,6
306,0,313,6
307,0,261,6
308,0,261,6
309,0,261,6
310,0,261,6
311,0,261,6
312,0,313,6
313,0,313,6
314,0,313,6
315,0,261,6
316,0,261,6
317,0,261,6
318,0,313,6
319,0,261,6
320,0,261,6
321,0,261,6
322,0,261,6
323,0,261,6
324,0,261,6
325,0,261,6
326,0,261,6
327,0,313,6
328,0,313,6
329,0,261,6
330,0,261,6
331,0,313,6
332,0,261,6
333,0,261,6
334,0,261,6
335,0,261,6
336,0,261,6
337,0,261,6
338,0,261,6
339,0,261,6
340,0,313,6
341,0,313,6
342,0,261,6
343,0,261,6
344,0,261,6
345,0,261,6
346,0,261,6
347,0,261,6
348,0,261,6
349,0,261,6
350,0,261,6
351,0,261,6
352,0,313,6
353,0,261,6
354,0,261,6
355,0,261,6
356,0,313,6
357,0,261,6
358,0,261,6
359,0,313,6
360,0,261,6
361,0,261,6
362,0,261,6
363,0,261,6
364,0,261,6
365,0,261,6
366,0,261,6
367,0,313,6
