Realization,utility,week,infra.
368,0,261,6
369,0,313,6
370,0,261,6
371,0,261,6
372,0,261,6
373,0,261,6
374,0,261,6
375,0,261,6
376,0,261,6
377,0,261,6
378,0,313,6
379,0,261,6
380,0,261,6
381,0,313,6
382,0,261,6
383,0,313,6
384,0,313,6
385,0,261,6
386,0,261,6
387,0,261,6
388,0,261,6
389,0,261,6
390,0,261,6
391,0,313,6
392,0,313,6
393,0,313,6
394,0,261,6
395,0,313,6
396,0,261,6
397,0,313,6
398,0,261,6
399,0,313,6
400,0,261,6
401,0,261,6
402,0,313,6
403,0,261,6
404,0,261,6
405,0,261,6
406,0,313,6
407,0,261,6
408,0,261,6
409,0,261,6
410,0,261,6
411,0,261,6
412,0,261,6
413,0,313,6
414,0,261,6
415,0,261,6
416,0,261,6
417,0,261,6
418,0,261,6
419,0,313,6
420,0,261,6
421,0,261,6
422,0,261,6
423,0,313,6
424,0,261,6
425,0,261,6
426,0,261,6
427,0,313,6
428,0,261,6
429,0,261,6
430,0,313,6
431,0,313,6
432,0,313,6
433,0,261,6
434,0,261,6
435,0,261,6
436,0,261,6
437,0,261,6
438,0,261,6
439,0,313,6
440,0,261,6
441,0,313,6
442,0,261,6
443,0,261,6
444,0,261,6
445,0,261,6
446,0,313,6
447,0,261,6
448,0,261,6
449,0,261,6
450,0,313,6
451,0,261,6
452,0,261,6
453,0,261,6
454,0,313,6
455,0,261,6
456,0,313,6
457,0,313,6
458,0,261,6
459,0,261,6
460,0,261,6
461,0,261,6
462,0,261,6
463,0,261,6
464,0,261,6
465,0,261,6
466,0,261,6
467,0,313,6
468,0,261,6
469,0,261,6
470,0,313,6
471,0,261,6
472,0,261,6
473,0,313,6
474,0,261,6
475,0,313,6
476,0,261,6
477,0,313,6
478,0,261,6
479,0,261,6
480,0,313,6
481,0,261,6
482,0,261,6
483,0,313,6
484,0,261,6
485,0,261,6
486,0,261,6
487,0,261,6
488,0,313,6
489,0,261,6
490,0,261,6
491,0,261,6
492,0,261,6
493,0,261,6
494,0,261,6
495,0,261,6
496,0,261,6
497,0,313,6
498,0,261,6
499,0,261,6
500,0,313,6
501,0,261,6
502,0,261,6
503,0,313,6
504,0,261,6
505,0,313,6
506,0,261,6
507,0,261,6
508,0,261,6
509,0,313,6
510,0,313,6
511,0,313,6
512,0,261,6
513,0,261,6
514,0,313,6
515,0,261,6
516,0,261,6
517,0,261,6
518,0,261,6
519,0,261,6
520,0,313,6
521,0,261,6
522,0,313,6
523,0,261,6
524,0,313,6
525,0,261,6
526,0,261,6
527,0,261,6
528,0,261,6
529,0,261,6
530,0,261,6
531,0,313,6
532,0,261,6
533,0,261,6
534,0,261,6
535,0,313,6
536,0,261,6
537,0,261,6
538,0,261,6
539,0,261,6
540,0,261,6
541,0,261,6
542,0,313,6
543,0,261,6
544,0,261,6
545,0,313,6
546,0,261,6
547,0,261,6
548,0,313,6
549,0,261,6
550,0,313,6
551,0,261,6
552,0,313,6
553,0,261,6
554,0,313,6
555,0,313,6
556,0,261,6
557,0,261,6
558,0,261,6
559,0,261,6
560,0,261,6
561,0,261,6
562,0,261,6
563,0,313,6
564,0,261,6
565,0,261,6
566,0,313,6
567,0,313,6
568,0,261,6
569,0,261,6
570,0,261,6
571,0,261,6
572,0,261,6
573,0,261,6
574,0,261,6
575,0,313,6
576,0,261,6
577,0,261,6
578,0,261,6
579,0,261,6
580,0,261,6
581,0,261,6
582,0,261,6
583,0,261,6
584,0,261,6
585,0,261,6
586,0,261,6
587,0,313,6
588,0,261,6
589,0,261,6
590,0,313,6
591,0,261,6
592,0,261,6
593,0,261,6
594,0,261,6
595,0,313,6
596,0,313,6
597,0,261,6
598,0,261,6
599,0,261,6
600,0,261,6
601,0,313,6
602,0,261,6
603,0,261,6
604,0,261,6
605,0,261,6
606,0,261,6
607,0,261,6
608,0,261,6
609,0,261,6
610,0,261,6
611,0,261,6
612,0,313,6
613,0,261,6
614,0,313,6
615,0,261,6
616,0,261,6
617,0,261,6
618,0,261,6
619,0,261,6
620,0,313,6
621,0,261,6
622,0,261,6
623,0,261,6
624,0,313,6
625,0,313,6
626,0,261,6
627,0,261,6
628,0,261,6
629,0,261,6
630,0,313,6
631,0,313,6
632,0,261,6
633,0,313,6
634,0,261,6
635,0,261,6
636,0,261,6
637,0,261,6
638,0,261,6
639,0,261,6
640,0,261,6
641,0,261,6
642,0,261,6
643,0,261,6
644,0,313,6
645,0,261,6
646,0,261,6
647,0,313,6
648,0,261,6
649,0,261,6
650,0,261,6
651,0,261,6
652,0,261,6
653,0,313,6
654,0,261,6
655,0,261,6
656,0,261,6
657,0,261,6
658,0,313,6
659,0,261,6
660,0,261,6
661,0,261,6
662,0,261,6
663,0,261,6
664,0,261,6
665,0,261,6
666,0,261,6
667,0,261,6
668,0,261,6
669,0,261,6
670,0,261,6
671,0,261,6
672,0,261,6
673,0,261,6
674,0,261,6
675,0,261,6
676,0,261,6
677,0,261,6
678,0,313,6
679,0,261,6
680,0,313,6
681,0,261,6
682,0,313,6
683,0,261,6
684,0,261,6
685,0,313,6
686,0,261,6
687,0,313,6
688,0,261,6
689,0,261,6
690,0,261,6
691,0,261,6
692,0,313,6
693,0,261,6
694,0,261,6
695,0,261,6
696,0,261,6
697,0,261,6
698,0,261,6
699,0,313,6
700,0,261,6
701,0,261,6
702,0,261,6
703,0,261,6
704,0,261,6
705,0,261,6
706,0,261,6
707,0,261,6
708,0,261,6
709,0,261,6
710,0,261,6
711,0,261,6
712,0,261,6
713,0,261,6
714,0,261,6
715,0,261,6
716,0,313,6
717,0,261,6
718,0,313,6
719,0,261,6
720,0,261,6
721,0,261,6
722,0,261,6
723,0,261,6
724,0,261,6
725,0,261,6
726,0,261,6
727,0,261,6
728,0,261,6
729,0,261,6
730,0,313,6
731,0,313,6
732,0,261,6
733,0,261,6
734,0,261,6
735,0,261,6
736,0,261,6
737,0,261,6
738,0,261,6
739,0,313,6
740,0,261,6
741,0,313,6
742,0,261,6
743,0,313,6
744,0,261,6
745,0,261,6
746,0,261,6
747,0,261,6
748,0,313,6
749,0,261,6
750,0,261,6
751,0,313,6
752,0,261,6
753,0,313,6
754,0,261,6
755,0,261,6
756,0,261,6
757,0,261,6
758,0,261,6
759,0,261,6
760,0,261,6
761,0,261,6
762,0,261,6
763,0,261,6
764,0,261,6
765,0,313,6
766,0,261,6
767,0,261,6
768,0,261,6
769,0,261,6
770,0,261,6
771,0,261,6
772,0,261,6
773,0,261,6
774,0,261,6
775,0,261,6
776,0,313,6
777,0,261,6
778,0,261,6
779,0,313,6
780,0,261,6
781,0,313,6
782,0,313,6
783,0,261,6
784,0,261,6
785,0,313,6
786,0,313,6
787,0,261,6
788,0,313,6
789,0,261,6
790,0,261,6
791,0,261,6
792,0,261,6
793,0,313,6
794,0,261,6
795,0,261,6
796,0,261,6
797,0,261,6
798,0,261,6
799,0,261,6
800,0,313,6
801,0,261,6
802,0,261,6
803,0,313,6
804,0,261,6
805,0,261,6
806,0,261,6
807,0,261,6
808,0,261,6
809,0,261,6
810,0,313,6
811,0,261,6
812,0,261,6
813,0,313,6
814,0,313,6
815,0,261,6
816,0,313,6
817,0,313,6
818,0,313,6
819,0,261,6
820,0,261,6
821,0,261,6
822,0,261,6
823,0,313,6
824,0,261,6
825,0,261,6
826,0,261,6
827,0,313,6
828,0,261,6
829,0,261,6
830,0,261,6
831,0,261,6
832,0,261,6
833,0,261,6
834,0,261,6
835,0,313,6
836,0,261,6
837,0,261,6
838,0,313,6
839,0,313,6
840,0,261,6
841,0,313,6
842,0,261,6
843,0,261,6
844,0,261,6
845,0,313,6
846,0,261,6
847,0,261,6
848,0,261,6
849,0,261,6
850,0,261,6
851,0,261,6
852,0,261,6
853,0,261,6
854,0,261,6
855,0,313,6
856,0,261,6
857,0,261,6
858,0,261,6
859,0,261,6
860,0,261,6
861,0,261,6
862,0,313,6
863,0,261,6
864,0,261,6
865,0,261,6
866,0,313,6
867,0,261,6
868,0,261,6
869,0,313,6
870,0,261,6
871,0,261,6
872,0,313,6
873,0,261,6
874,0,261,6
875,0,261,6
876,0,261,6
877,0,261,6
878,0,261,6
879,0,313,6
880,0,261,6
881,0,261,6
882,0,261,6
883,0,261,6
884,0,261,6
885,0,261,6
886,0,261,6
887,0,261,6
888,0,261,6
889,0,261,6
890,0,261,6
891,0,261,6
892,0,261,6
893,0,261,6
894,0,313,6
895,0,261,6
896,0,261,6
897,0,261,6
898,0,313,6
899,0,261,6
900,0,261,6
901,0,261,6
902,0,313,6
903,0,261,6
904,0,261,6
905,0,261,6
906,0,261,6
907,0,261,6
908,0,313,6
909,0,261,6
910,0,261,6
911,0,261,6
912,0,261,6
913,0,261,6
914,0,261,6
915,0,261,6
916,0,261,6
917,0,261,6
918,0,261,6
919,0,261,6
920,0,261,6
921,0,261,6
922,0,261,6
923,0,313,6
924,0,261,6
925,0,313,6
926,0,261,6
927,0,313,6
928,0,261,6
929,0,261,6
930,0,261,6
931,0,261,6
932,0,313,6
933,0,313,6
934,0,313,6
935,0,261,6
936,0,261,6
937,0,261,6
938,0,261,6
939,0,261,6
940,0,261,6
941,0,261,6
942,0,261,6
943,0,313,6
944,0,261,6
945,0,261,6
946,0,261,6
947,0,313,6
948,0,261,6
949,0,313,6
950,0,261,6
951,0,313,6
952,0,313,6
953,0,313,6
954,0,261,6
955,0,261,6
956,0,261,6
957,0,261,6
958,0,261,6
959,0,313,6
960,0,261,6
961,0,261,6
962,0,261,6
963,0,261,6
964,0,313,6
965,0,261,6
966,0,313,6
967,0,261,6
968,0,261,6
969,0,261,6
970,0,261,6
971,0,261,6
972,0,261,6
973,0,261,6
974,0,313,6
975,0,313,6
976,0,313,6
977,0,313,6
978,0,261,6
979,0,261,6
980,0,261,6
981,0,261,6
982,0,261,6
983,0,261,6
984,0,261,6
985,0,261,6
986,0,313,6
987,0,313,6
988,0,261,6
989,0,261,6
990,0,261,6
991,0,261,6
992,0,313,6
993,0,261,6
994,0,261,6
995,0,313,6
996,0,261,6
997,0,261,6
998,0,261,6
999,0,261,6
0,1,261,9
0,1,521,10
1,1,261,9
1,1,521,10
2,1,261,9
2,1,521,10
3,1,261,9
3,1,521,10
4,1,261,9
4,1,521,10
5,1,261,9
5,1,521,10
6,1,261,9
6,1,521,10
7,1,261,9
7,1,521,10
8,1,261,9
8,1,521,10
9,1,261,9
9,1,521,10
10,1,261,9
10,1,521,10
11,1,261,9
11,1,521,10
12,1,261,9
12,1,521,10
13,1,261,9
13,1,521,10
14,1,261,9
14,1,521,10
15,1,261,9
15,1,521,10
16,1,261,9
16,1,521,10
17,1,261,9
17,1,521,10
18,1,261,9
18,1,521,10
19,1,261,9
19,1,521,10
20,1,261,9
20,1,521,10
21,1,261,9
21,1,521,10
22,1,261,9
22,1,521,10
23,1,261,9
23,1,521,10
24,1,261,9
24,1,521,10
25,1,261,9
25,1,521,10
26,1,261,9
26,1,521,10
27,1,261,9
27,1,521,10
28,1,261,9
28,1,521,10
29,1,261,9
29,1,521,10
30,1,261,9
30,1,521,10
31,1,261,9
31,1,521,10
32,1,261,9
32,1,521,10
33,1,261,9
33,1,521,10
34,1,261,9
34,1,521,10
35,1,261,9
35,1,521,10
36,1,261,9
36,1,521,10
37,1,261,9
37,1,521,10
38,1,261,9
38,1,521,10
39,1,261,9
39,1,521,10
40,1,261,9
40,1,521,10
41,1,261,9
41,1,521,10
42,1,261,9
42,1,521,10
43,1,261,9
43,1,521,10
44,1,261,9
44,1,521,10
45,1,261,9
45,1,521,10
46,1,261,9
46,1,521,10
47,1,261,9
47,1,521,10
48,1,261,9
48,1,521,10
49,1,261,9
49,1,521,10
50,1,261,9
50,1,521,10
51,1,261,9
51,1,521,10
52,1,261,9
52,1,521,10
53,1,261,9
53,1,521,10
54,1,261,9
54,1,521,10
55,1,261,9
55,1,521,10
56,1,261,9
56,1,521,10
57,1,261,9
57,1,521,10
58,1,261,9
58,1,521,10
59,1,261,9
59,1,521,10
60,1,261,9
60,1,521,10
61,1,261,9
61,1,521,10
62,1,261,9
62,1,521,10
63,1,261,9
63,1,521,10
64,1,261,9
64,1,521,10
65,1,261,9
65,1,521,10
66,1,261,9
66,1,521,10
67,1,261,9
67,1,521,10
68,1,261,9
68,1,521,10
69,1,261,9
69,1,521,10
70,1,261,9
70,1,521,10
71,1,261,9
71,1,521,10
72,1,261,9
72,1,521,10
73,1,261,9
73,1,521,10
74,1,261,9
74,1,521,10
75,1,261,9
75,1,521,10
76,1,261,9
76,1,521,10
77,1,261,9
77,1,521,10
78,1,261,9
78,1,521,10
79,1,261,9
79,1,521,10
80,1,261,9
80,1,521,10
81,1,261,9
81,1,521,10
82,1,261,9
82,1,521,10
83,1,261,9
83,1,521,10
84,1,261,9
84,1,521,10
85,1,261,9
85,1,521,10
86,1,261,9
86,1,521,10
87,1,261,9
87,1,521,10
88,1,261,9
88,1,521,10
89,1,261,9
89,1,521,10
90,1,261,9
90,1,521,10
91,1,261,9
91,1,521,10
92,1,261,9
92,1,521,10
93,1,261,9
93,1,521,10
94,1,261,9
94,1,521,10
95,1,261,9
95,1,521,10
96,1,261,9
96,1,521,10
97,1,261,9
97,1,521,10
98,1,261,9
98,1,521,10
99,1,261,9
99,1,521,10
100,1,261,9
100,1,521,10
101,1,261,9
101,1,521,10
102,1,261,9
102,1,521,10
103,1,261,9
103,1,521,10
104,1,261,9
104,1,521,10
105,1,261,9
105,1,521,10
106,1,261,9
106,1,521,10
107,1,261,9
107,1,521,10
108,1,261,9
108,1,521,10
109,1,261,9
109,1,521,10
110,1,261,9
110,1,521,10
111,1,261,9
111,1,521,10
112,1,261,9
112,1,521,10
113,1,261,9
113,1,521,10
114,1,261,9
114,1,521,10
115,1,261,9
115,1,521,10
116,1,261,9
116,1,521,10
117,1,261,9
117,1,521,10
118,1,261,9
118,1,521,10
119,1,261,9
119,1,521,10
120,1,261,9
120,1,521,10
121,1,261,9
121,1,521,10
122,1,261,9
122,1,521,10
123,1,261,9
123,1,521,10
124,1,261,9
124,1,521,10
125,1,261,9
125,1,521,10
126,1,261,9
126,1,521,10
127,1,261,9
127,1,521,10
128,1,261,9
128,1,521,10
129,1,261,9
129,1,521,10
130,1,261,9
130,1,521,10
131,1,261,9
131,1,521,10
132,1,261,9
132,1,521,10
133,1,261,9
133,1,521,10
134,1,261,9
134,1,521,10
135,1,261,9
135,1,521,10
136,1,261,9
136,1,521,10
137,1,261,9
137,1,521,10
138,1,261,9
138,1,521,10
139,1,261,9
139,1,521,10
140,1,261,9
140,1,521,10
141,1,261,9
141,1,521,10
142,1,261,9
142,1,521,10
143,1,261,9
143,1,521,10
144,1,261,9
144,1,521,10
145,1,261,9
145,1,521,10
146,1,261,9
146,1,521,10
147,1,261,9
147,1,521,10
148,1,261,9
148,1,521,10
149,1,261,9
149,1,521,10
150,1,261,9
150,1,521,10
151,1,261,9
151,1,521,10
152,1,261,9
152,1,521,10
153,1,261,9
153,1,521,10
154,1,261,9
154,1,521,10
155,1,261,9
155,1,521,10
156,1,261,9
156,1,521,10
157,1,261,9
157,1,521,10
158,1,261,9
158,1,521,10
159,1,261,9
159,1,521,10
160,1,261,9
160,1,521,10
161,1,261,9
161,1,521,10
162,1,261,9
162,1,521,10
163,1,261,9
163,1,521,10
164,1,261,9
164,1,521,10
165,1,261,9
165,1,521,10
166,1,261,9
166,1,521,10
167,1,261,9
167,1,521,10
168,1,261,9
168,1,521,10
169,1,261,9
169,1,521,10
170,1,261,9
170,1,521,10
171,1,261,9
171,1,521,10
172,1,261,9
172,1,521,10
173,1,261,9
173,1,521,10
174,1,261,9
174,1,521,10
175,1,261,9
175,1,521,10
176,1,261,9
176,1,521,10
177,1,261,9
177,1,521,10
178,1,261,9
178,1,521,10
179,1,261,9
179,1,521,10
180,1,261,9
180,1,521,10
181,1,261,9
181,1,521,10
182,1,261,9
182,1,521,10
183,1,261,9
183,1,521,10
184,1,261,9
184,1,521,10
185,1,261,9
185,1,521,10
186,1,261,9
186,1,521,10
187,1,261,9
187,1,521,10
188,1,261,9
188,1,521,10
189,1,261,9
189,1,521,10
190,1,261,9
190,1,521,10
191,1,261,9
191,1,521,10
192,1,261,9
192,1,521,10
193,1,261,9
193,1,521,10
194,1,261,9
194,1,521,10
195,1,261,9
195,1,521,10
196,1,261,9
196,1,521,10
197,1,261,9
197,1,521,10
198,1,261,9
198,1,521,10
199,1,261,9
199,1,521,10
200,1,261,9
200,1,521,10
201,1,261,9
201,1,521,10
202,1,261,9
202,1,521,10
203,1,261,9
203,1,521,10
204,1,261,9
204,1,521,10
205,1,261,9
205,1,521,10
206,1,261,9
206,1,521,10
207,1,261,9
207,1,521,10
208,1,261,9
208,1,521,10
209,1,261,9
209,1,521,10
210,1,261,9
210,1,521,10
211,1,261,9
211,1,521,10
212,1,261,9
212,1,521,10
213,1,261,9
213,1,521,10
214,1,261,9
214,1,521,10
215,1,261,9
215,1,521,10
216,1,261,9
216,1,521,10
217,1,261,9
217,1,521,10
218,1,261,9
218,1,521,10
219,1,261,9
219,1,521,10
220,1,261,9
220,1,521,10
221,1,261,9
221,1,521,10
222,1,261,9
222,1,521,10
223,1,261,9
223,1,521,10
224,1,261,9
224,1,521,10
225,1,261,9
225,1,521,10
226,1,261,9
226,1,521,10
227,1,261,9
227,1,521,10
228,1,261,9
228,1,521,10
229,1,261,9
229,1,521,10
230,1,261,9
230,1,521,10
231,1,261,9
231,1,521,10
232,1,261,9
232,1,521,10
233,1,261,9
233,1,521,10
234,1,261,9
234,1,521,10
235,1,261,9
235,1,521,10
236,1,261,9
236,1,521,10
237,1,261,9
237,1,521,10
238,1,261,9
238,1,521,10
239,1,261,9
239,1,521,10
240,1,261,9
240,1,521,10
241,1,261,9
241,1,521,10
242,1,261,9
242,1,521,10
243,1,261,9
243,1,521,10
244,1,261,9
244,1,521,10
245,1,261,9
245,1,521,10
246,1,261,9
246,1,521,10
247,1,261,9
247,1,521,10
248,1,261,9
248,1,521,10
249,1,261,9
249,1,521,10
250,1,261,9
250,1,521,10
251,1,261,9
251,1,521,10
252,1,261,9
252,1,521,10
253,1,261,9
253,1,521,10
254,1,261,9
254,1,521,10
255,1,261,9
255,1,521,10
256,1,261,9
256,1,521,10
257,1,261,9
257,1,521,10
258,1,261,9
258,1,521,10
259,1,261,9
259,1,521,10
260,1,261,9
260,1,521,10
261,1,261,9
261,1,521,10
262,1,261,9
262,1,521,10
263,1,261,9
263,1,521,10
264,1,261,9
264,1,521,10
265,1,261,9
265,1,521,10
266,1,261,9
266,1,521,10
267,1,261,9
267,1,521,10
268,1,261,9
268,1,521,10
269,1,261,9
269,1,521,10
270,1,261,9
270,1,521,10
271,1,261,9
271,1,521,10
272,1,261,9
272,1,521,10
273,1,261,9
273,1,521,10
274,1,261,9
274,1,521,10
275,1,261,9
275,1,521,10
276,1,261,9
276,1,521,10
277,1,261,9
277,1,521,10
278,1,261,9
278,1,521,10
279,1,261,9
279,1,521,10
280,1,261,9
280,1,521,10
281,1,261,9
281,1,521,10
282,1,261,9
282,1,521,10
283,1,261,9
283,1,521,10
284,1,261,9
284,1,521,10
285,1,261,9
285,1,521,10
286,1,261,9
286,1,521,10
287,1,261,9
287,1,521,10
288,1,261,9
288,1,521,10
289,1,261,9
289,1,521,10
290,1,261,9
290,1,521,10
291,1,261,9
291,1,521,10
292,1,261,9
292,1,521,10
293,1,261,9
293,1,521,10
294,1,261,9
294,1,521,10
295,1,261,9
295,1,521,10
296,1,261,9
296,1,521,10
297,1,261,9
297,1,521,10
298,1,261,9
298,1,521,10
299,1,261,9
299,1,521,10
300,1,261,9
300,1,521,10
301,1,261,9
301,1,521,10
302,1,261,9
302,1,521,10
303,1,261,9
303,1,521,10
304,1,261,9
304,1,521,10
305,1,261,9
305,1,521,10
306,1,261,9
306,1,521,10
307,1,261,9
307,1,521,10
308,1,261,9
308,1,521,10
309,1,261,9
309,1,521,10
310,1,261,9
310,1,521,10
311,1,261,9
311,1,521,10
312,1,261,9
312,1,521,10
313,1,261,9
313,1,521,10
314,1,261,9
314,1,521,10
315,1,261,9
315,1,521,10
316,1,261,9
316,1,521,10
317,1,261,9
317,1,521,10
318,1,261,9
318,1,521,10
319,1,261,9
319,1,521,10
320,1,261,9
320,1,521,10
321,1,261,9
321,1,521,10
322,1,261,9
322,1,521,10
323,1,261,9
323,1,521,10
324,1,261,9
324,1,521,10
325,1,261,9
325,1,521,10
326,1,261,9
326,1,521,10
327,1,261,9
327,1,521,10
328,1,261,9
328,1,521,10
329,1,261,9
329,1,521,10
330,1,261,9
330,1,521,10
331,1,261,9
331,1,521,10
332,1,261,9
332,1,521,10
333,1,261,9
333,1,521,10
334,1,261,9
334,1,521,10
335,1,261,9
335,1,521,10
336,1,261,9
336,1,521,10
337,1,261,9
337,1,521,10
338,1,261,9
338,1,521,10
339,1,261,9
339,1,521,10
340,1,261,9
340,1,521,10
341,1,261,9
341,1,521,10
342,1,261,9
342,1,521,10
343,1,261,9
343,1,521,10
344,1,261,9
344,1,521,10
345,1,261,9
345,1,521,10
346,1,261,9
346,1,521,10
347,1,261,9
347,1,521,10
348,1,261,9
348,1,521,10
349,1,261,9
349,1,521,10
350,1,261,9
350,1,521,10
351,1,261,9
351,1,521,10
352,1,261,9
352,1,521,10
353,1,261,9
353,1,521,10
354,1,261,9
354,1,521,10
355,1,261,9
355,1,521,10
356,1,261,9
356,1,521,10
357,1,261,9
357,1,521,10
358,1,261,9
358,1,521,10
359,1,261,9
359,1,521,10
360,1,261,9
360,1,521,10
361,1,261,9
361,1,521,10
362,1,261,9
362,1,521,10
363,1,261,9
363,1,521,10
364,1,261,9
364,1,521,10
365,1,261,9
365,1,521,10
366,1,261,9
366,1,521,10
367,1,261,9
367,1,521,10
368,1,261,9
368,1,521,10
369,1,261,9
369,1,521,10
370,1,261,9
370,1,521,10
371,1,261,9
371,1,521,10
372,1,261,9
372,1,521,10
